reference,reference_sha,path,decision,reason,base_blob,reference_blob,candidate_blob
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/GstDiagnosticsUtil.h,already included,Reference and starting-superset blobs match; no import needed.,ed5569ccb09b669856cd1b26a6d477b5eddffcb9,ed5569ccb09b669856cd1b26a6d477b5eddffcb9,ed5569ccb09b669856cd1b26a6d477b5eddffcb9
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/InputStream.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",ca7d28b820fbf177ce644a1445df797819f8a8f1,2af644364f1e720cd04420dbfbd2828d77518f17,9b26f16151766de6f82063ed5e49433dfc8fba8b
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/InputStreamTeardownPolicy.h,already included,Reference and starting-superset blobs match; no import needed.,7fae6b3ec1719b7337141279bc65c1a098f64351,7fae6b3ec1719b7337141279bc65c1a098f64351,7fae6b3ec1719b7337141279bc65c1a098f64351
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/InputStreamUtil.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",218538538eb4795678ea43446cc310dac838b55a,ece1dcffd737f9dd0ba38edc3119dff871e23d7d,50ae2cb9814d6faebc2df25b4934d2a00a0a46dc
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/MemoryBackendPolicy.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",3b9d802e116f6b9e05f2feeefac33251b2fa2471,16499876933f0c72f51ba76eaa819cfb1c456723,
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/MemoryBackendPolicy.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",0d01e26c5e2e204a01b408fad2314b31387256d8,f190829f4c5de0850e81b53cd1c56447e0b46683,
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/contract/PluginCompiledContracts.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",e4f63e7ea51b1e2f9ff322cf24400a94317b5d2f,61271b8520525b927b36ca4ad590b325490ca5b5,e4f63e7ea51b1e2f9ff322cf24400a94317b5d2f
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/ContractRender.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",0dc6c74b99a89be363e2a3ed635e4d361dfdb438,97f93d5cdee0ba0937d4106ede4bcc3ce60da4cd,0dc6c74b99a89be363e2a3ed635e4d361dfdb438
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/MlaElfIoTopology.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",7936b62b529cc98b94eaf3ea1cdf1a4ddadeea69,07ce365777a28f8b7e64769e40c81506622de2c3,7936b62b529cc98b94eaf3ea1cdf1a4ddadeea69
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/MlaElfIoTopology.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",20cb86fc52a04abb480e5e58f2f1365efe0993da,78c7879ce3534d4ce64c14e67042c1e8af83dea4,20cb86fc52a04abb480e5e58f2f1365efe0993da
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/MlaStaticContractExtractor.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",9a250e35503a37b5b916099802de958a6f7c2313,43404f9d318bbda81d7ac0224b14348aac4aa7c2,9a250e35503a37b5b916099802de958a6f7c2313
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/SimaPluginStaticManifest.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",8d8b184e8b2e622b1726125fb7e7976ad8236d36,42399fdc6db7c93ff9db14a690f82bf3e256d654,8d8b184e8b2e622b1726125fb7e7976ad8236d36
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/SimaPluginStaticManifest.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",2334a1aa6ce9e8043f3c2505a6206c1852ea09e5,eec63712adf0e0ecf0ee4f1cf9290e074f2ad837,2334a1aa6ce9e8043f3c2505a6206c1852ea09e5
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/StaticSpecBuilders.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",dd088bdb8d83a2bce09101ed762b9e26df40203d,1c8669dc30956e7b43d18c8eb8f41623c358ee56,dd088bdb8d83a2bce09101ed762b9e26df40203d
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/StaticSpecBuilders.h,already included,Reference and starting-superset blobs match; no import needed.,cfa0049bc782eef58bcafee43400aad2a01bc84e,cfa0049bc782eef58bcafee43400aad2a01bc84e,cfa0049bc782eef58bcafee43400aad2a01bc84e
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/stagesemantics/ProcessMlaStageSemantics.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",f4237df9a6a73e877c4ddd361a20fca160aed268,9f6c1f1b01f18a1bb082028783f08bdb3b9b85d3,f4237df9a6a73e877c4ddd361a20fca160aed268
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/DmabufPlanContractProjection.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",022a7acb5565fe110ab257d7b7dd1a12563ba6f5,5f08aaf768835ee441ce12cfc0f0f55df771bb49,022a7acb5565fe110ab257d7b7dd1a12563ba6f5
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/DmabufPlanContractProjection.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",0eae4660a33fbf37d8a751c4467f970ff7bf1cc5,6bd1129241bbe0d3c346cbf541321b449d194ce5,0eae4660a33fbf37d8a751c4467f970ff7bf1cc5
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/FrameSlotArenaPlan.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",0bfed6b0d37db67d4ed93dcc0debcee111c1b4e8,80d3953d11680246bc9c6a1664f252528ba1aa37,0bfed6b0d37db67d4ed93dcc0debcee111c1b4e8
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/FrameSlotArenaPlan.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",c54075581f744b51682ca471d9bf31f350d3f4bb,9e57a758f8ef022897db1c5169890836889fecc8,c54075581f744b51682ca471d9bf31f350d3f4bb
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/KernelRegistry.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",66919aa85da89e3b432ccb8bdcc49d40e9f71d55,4c16720f5ca6025eedc571c476fa3b0a69d128bf,66919aa85da89e3b432ccb8bdcc49d40e9f71d55
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/KernelRegistry.h,already included,Reference and starting-superset blobs match; no import needed.,88d1a2ea9f64fce5c11c312cd105a199f99117b0,88d1a2ea9f64fce5c11c312cd105a199f99117b0,88d1a2ea9f64fce5c11c312cd105a199f99117b0
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/LegacyAfeMpkDecoder.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",,13cb8b846c0946c1dda479726940476fef1bf0fb,
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/LegacyAfeMpkDecoder.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",,f963068f032b580b079392916a8289f1b6d059f3,
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/ModelExecutionPlan.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",df3c7054ebd1985af246febd497ac944871c64a7,ada3cd58e300471ab9375210b382c8f975692773,df3c7054ebd1985af246febd497ac944871c64a7
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/internal/sima/static_contract/ModelExecutionPlan.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",676963885dcdfb139e2b66dff7ff15516e182ad4,e3c818e8e4ac498be58746db4454e2a64b3b14cd,676963885dcdfb139e2b66dff7ff15516e182ad4
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/sample/SampleUtil.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",1228debee62fd2fe7a7d1167946517e431d540d8,ad6ce905bd5cb217669738db057f8f4029fe8301,d079d6702244ad14ba750a7a453cb3b26bef6734
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/tensor/TensorTransfer.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",ed3716dd8d2494e9716823006f1f03eec05fd997,31644bade592d17ee96a23e3f11b2ba087fc9aeb,feea9ea842e151bc8fdbdc37a4c2278e20654d0b
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/CMakeLists.txt,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",05cf55c8bd90ae2096b65e84148507c521c065db,3575c6e01ff87d8fc7135f815afb87931fad8d6b,5b5cac7eaaf1637323494c39567ff08380d0159a
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/graph_migration/legacy/evo_tput_bench.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",96e465a9788e76a6297b540ce9df809e113e5366,0fa0cda7936acef2d796b9916fa0877fb5f4fbf1,96e465a9788e76a6297b540ce9df809e113e5366
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/neat_tensor_device_placement_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",98ad0bee550af7b4e814f3ed21e966c2e7e2ce4f,88c9a49438fd099bbaf1c81a6d41117ec07b3643,85cb46d82b3c72a9b214613e004ed95455ea5b26
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/tools/run_legacy_afe_evo_corpus_test.py,already included,Reference and starting-superset blobs match; no import needed.,cb40913d6cf43fcad10fdb393e986e5ec369b436,cb40913d6cf43fcad10fdb393e986e5ec369b436,cb40913d6cf43fcad10fdb393e986e5ec369b436
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_dmabuf_plan_contract_projection_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",3c9822c43b4ce8e2583b8e1b8df612a6d8088b55,7cf73674ee816531dd882d971a7c56f14b6571fe,3c9822c43b4ce8e2583b8e1b8df612a6d8088b55
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_frame_slot_arena_plan_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",ec560b7e4b6f00027d22e27bbc2932c5c06fd42a,e0598451a5a498ccfb00cce9d2e90256680aacac,ec560b7e4b6f00027d22e27bbc2932c5c06fd42a
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_inputstream_stop_flush_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",5c4f3fe9979b267fc9d7296ca3e50e6a304d0f8b,a3aa0573ea23a88377b4901469e64e1d7023ad28,5c4f3fe9979b267fc9d7296ca3e50e6a304d0f8b
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_legacy_afe_mpk_decoder_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",,8556a0e3eeb05ee2553bb8dfe5f0a9074200e353,
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_mla_elf_io_topology_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",fd2c17990c7e0ff94ca66f4f96d2a58e7d6a7bc8,ef5cfd9c33c18a64ee440f4aaf683bd11ddbf58f,fd2c17990c7e0ff94ca66f4f96d2a58e7d6a7bc8
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_model_stage_fragments_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",74b421be83171b81b011722bc3c95a9c0f69c20d,13a1c4c2c61047804b4ebaf214d1d30bf7684e50,74b421be83171b81b011722bc3c95a9c0f69c20d
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_modelpack_mla_handoff_segment_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",bac887f5d95915063173f3edf44a4b8e96015877,ecb7b3049bf6a0dafd567dafdbdad0a5353a2d30,92da9d8609456e531e0926164b79357998050af5
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_sima_plugin_static_manifest_contract_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",fd7eca646b7c6f7d6bc31f03f055c8ca2f927546,e4bdedc3b2ff2645b3d23cbb1fe6dca88fd43fdf,fd7eca646b7c6f7d6bc31f03f055c8ca2f927546
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,tests/unit_testing/unit_sima_plugin_static_manifest_parse_test.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",27c7fa9b152449cb0951355c6c0e577d15c52f21,f56ec4ad23be2997e84a6a908d6f641089bfda6f,27c7fa9b152449cb0951355c6c0e577d15c52f21
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,src/model/Model.cpp,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,32a786b5076398d1a6b7afb2a89718691524d329,bfb5f9f41d6ce4ce0cf85d9defcf801b165ece01,d31e2e408a57b6ff89d68336f5201ffb990bc13a
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,src/model/ModelPack.cpp,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,ee71f6f10e0076ad030d1d0a7dcd45a3368fbc50,c9e93af6ca443f024dfd36ac670451ff4291ad1a,00f57d636c902a74cfa07e64982540fee40d50b8
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,src/model/RoutePlanner.cpp,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,804221a6d8f52912e098b7f3059c7c9bb72f3089,ca4d1068b24bdd29dc1028f5bbabcc1096fd7818,0282ee12e6c1fdbaa0633f52124ef1b56deb746d
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,src/model/internal/ModelPack.h,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,cc2834940a8ada971fad7f049575665ec91249cb,27467d3fa80f5b84e46ccca41810ff3095656f28,34c521160aa28668949b77c7d281210d03b6036d
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,src/pipeline/internal/DmabufEligibility.h,required addition,Selected reference content incorporated without a branch merge.,80667b16b4b17dfe3c227783bcd5bd7f0b8dbcee,4013bfa60d42c2cbf6c6052c502908f29fc8c7f5,4013bfa60d42c2cbf6c6052c502908f29fc8c7f5
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,tests/unit_testing/unit_dmabuf_eligibility_test.cpp,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,c267fde13b12b4c6adb2834dd516df2f9a9a357a,c975a62e0631457e00cd059e357c51c6a94ae120,c8af91a41a80d43d1f88e7c62d5e9d869821a455
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,tests/unit_testing/unit_model_metadata_test.cpp,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,fc5be5828df9a592856c8594cc39e81a016036cd,9d78871b71aa6b798a3473303cd8f71e65f06390,08e1054ed1a40acf93cf8ad4f96678a37f952732
consolidation,5c9fb41ea4fa07c1bc4470141f874f34177dec83,tests/unit_testing/unit_modelpack_multi_mla_plan_test.cpp,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,43deece7914faca29ecd6658f52ecea9c8fa69e5,8bcfb4a9b4c140f1d906473051246786ccf29293,c0bb1253783522bc34a566e8ac2fa037e063f968
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,.github/workflows/vulcan-ci.yml,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",51e196a9f7d83b6a57fc4583d96dd7fd910c1b22,5e711ecdd8339ab0aac4c7f8382c35951edc73ff,51e196a9f7d83b6a57fc4583d96dd7fd910c1b22
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,.gitignore,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",8a868fccaf6cd3fea7ca64848c05e15ed26fec17,b0c9b63b3d515d800ff5b458bbdc245750626d70,8a868fccaf6cd3fea7ca64848c05e15ed26fec17
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,CMakeLists.txt,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",8b6ade5562323d20b8890ba71311b7a52508f9c9,8da7bf3303691fb539954c528f7e0c9f370a7355,8b6ade5562323d20b8890ba71311b7a52508f9c9
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,build.sh,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",d2644938480d8166e70477e07c91334bc496a6a5,208e1d1d1755ae5f529ad7622518c68b503a3185,d2644938480d8166e70477e07c91334bc496a6a5
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,cmake/SimaNeatConfig.cmake.in,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",2f16513944c32a37f7720317533fcefdb564ed12,5e190e48ff5f8b68d4c279ff06771e7bd7e1e0fd,2f16513944c32a37f7720317533fcefdb564ed12
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,deps/manifest.json,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",f2667222d431c59d25aa1c48cac9f31a3ed444e3,1582d62b76b591ae8caec6b6278382ab929657cc,f2667222d431c59d25aa1c48cac9f31a3ed444e3
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/advanced-concepts/application-design/mipi-camera-input.md,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",3e0485dd992611feba1d8e22ce0e54a7fc1a4541,ec1bdd9c9c390f3656d52531310aed598e9e9bdc,3e0485dd992611feba1d8e22ce0e54a7fc1a4541
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/advanced-concepts/data-model-contracts/memory_model.md,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",39893e3275fd9ee075c341c6d5bc675bea258a0d,e906002a63fe06fba0a97d9c1364409f26b79ce4,39893e3275fd9ee075c341c6d5bc675bea258a0d
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/contribute/start-here/architecture.md,required addition,Selected semantics incorporated with localized integration; retain superset behavior outside this change.,75c68ca897abb95af7ae659487ec914bd620f491,de2d8b1327dd82c63a0e92ba5e3936d02a7c8a15,f92ecf8347c5de8c7cd20d400856ac714872e54b
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/development-workflow/core_types.mdx,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",7ed04316856462a16c1b1af4e5afa002824d1138,3c89b9f8834e07571f29715da102f1ca980b281e,7ed04316856462a16c1b1af4e5afa002824d1138
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/development-workflow/index.md,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",a0fe36933be8addfb6e26e6dafa5c0ee2e253e80,17f984868bbe2cd3f6ce8a469ee9ba9fb3562c78,a0fe36933be8addfb6e26e6dafa5c0ee2e253e80
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/development-workflow/node.mdx,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",c771ba8d0f6ddc2a1d508c7e30f3d4baee388592,7c197e9ff7ff16d4138e7de506b62238d83bd33d,c771ba8d0f6ddc2a1d508c7e30f3d4baee388592
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/development-workflow/overview.mdx,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",fe7c68809d97d8ed1d02b9f2ac23ca74d6446b4c,ad1588780b04bd75382e5155954c51f256221970,fe7c68809d97d8ed1d02b9f2ac23ca74d6446b4c
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/development-workflow/pcie-model.mdx,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",a0a90219c6d27cce0ade6e8d106640d785eed1ba,,a0a90219c6d27cce0ade6e8d106640d785eed1ba
direct-no-selector,02ae0ddee3fef799ab9011d66d1db4a5aab9ec31,docs/develop-apps/hello-neat/pcie.md,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",e0653f8c48fa8d916ce5251e7b82ed640ade39ca,,e0653f8c48fa8d916ce5251e7b82ed640ade39ca
